Rank,Name,Value,Age,Positions,Team,Level
1,Bobby Witt Jr.,10000,25.7,SS,KC,MLB
2,Shohei Ohtani,9807,31.7,"SP, UT",LAD,MLB
3,Juan Soto,8687,27.4,OF,NYM,MLB
4,Paul Skenes,8606,23.8,SP,PIT,MLB
5,Corbin Carroll,6921,25.5,OF,AZ,MLB
6,Nick Kurtz,6810,22.9,1B,ATH,MLB
7,Tarik Skubal,6805,29.3,SP,DET,MLB
8,Junior Caminero,6804,22.7,3B,TB,MLB
9,Gunnar Henderson,6675,24.7,SS,BAL,MLB
10,Julio Rodriguez,6398,25.2,OF,SEA,MLB
11,Elly De La Cruz,6325,24.1,SS,CIN,MLB
12,Roman Anthony,6171,21.8,OF,BOS,MLB
13,Ronald Acuna Jr.,6124,28.2,OF,ATL,MLB
14,Jackson Chourio,6094,21.9,OF,MIL,MLB
15,Vladimir Guerrero Jr.,5999,26.9,1B,TOR,MLB
16,Aaron Judge,5912,33.9,OF,NYY,MLB
17,Garrett Crochet,5562,26.7,SP,BOS,MLB
18,Fernando Tatis Jr.,5505,27.2,OF,SD,MLB
19,Konnor Griffin,5461,19.9,SS,PIT,AA
20,James Wood,5096,23.5,OF,WSH,MLB
21,Jose Ramirez,4964,33.5,3B,CLE,MLB
22,Yoshinobu Yamamoto,4809,27.5,SP,LAD,MLB
23,Cal Raleigh,4627,29.3,C,SEA,MLB
24,Kyle Tucker,4557,29.1,OF,LAD,MLB
25,Wyatt Langford,4543,24.3,OF,TEX,MLB
26,Bryan Woo,4543,26.1,SP,SEA,MLB
27,Zach Neto,4251,25.1,SS,LAA,MLB
28,Yordan Alvarez,4238,28.7,OF,HOU,MLB
29,Hunter Greene,4181,26.6,SP,CIN,MLB
30,Hunter Brown,4123,27.5,SP,HOU,MLB
31,Pete Crow-Armstrong,4102,23.9,OF,CHC,MLB
32,Jackson Merrill,4032,22.9,OF,SD,MLB
33,Cristopher Sanchez,3767,29.2,SP,PHI,MLB
34,Kevin McGonigle,3745,21.5,SS,DET,AA
35,Riley Greene,3710,25.4,OF,DET,MLB
36,Jazz Chisholm Jr.,3705,28.1,"2B, 3B",NYY,MLB
37,Logan Gilbert,3627,28.8,SP,SEA,MLB
38,Rafael Devers,3590,29.4,1B,SF,MLB
39,Eury Perez,3520,22.9,SP,MIA,MLB
40,Chase Burns,3506,23.1,SP,CIN,MLB
41,Francisco Lindor,3421,32.3,SS,NYM,MLB
42,JJ Wetherholt,3419,23.5,"2B, SS",STL,AAA
43,Logan Webb,3379,29.3,SP,SF,MLB
44,Jacob Misiorowski,3325,23.9,SP,MIL,MLB
45,Ketel Marte,3315,32.4,2B,AZ,MLB
46,George Kirby,3243,28.1,SP,SEA,MLB
47,Cole Ragans,3168,28.2,SP,KC,MLB
48,Pete Alonso,3090,31.2,1B,BAL,MLB
49,Nolan McLean,3001,24.6,SP,NYM,MLB
50,Austin Riley,2974,28.9,3B,ATL,MLB
51,Jesus Made,2972,18.8,SS,MIL,AA
52,Samuel Basallo,2955,21.6,C,BAL,MLB
53,Kyle Schwarber,2941,32.9,UT,PHI,MLB
54,Jackson Holliday,2882,22.2,2B,BAL,MLB
55,Leo De Vries,2848,19.4,SS,ATH,AA
56,CJ Abrams,2836,25.4,SS,WSH,MLB
57,Bo Bichette,2796,27.9,SS,NYM,MLB
58,Jac Caglianone,2784,23.1,"1B, OF",KC,MLB
59,Maikel Garcia,2749,26,"2B, 3B, SS",KC,MLB
60,Joe Ryan,2718,29.7,SP,MIN,MLB
61,Freddy Peralta,2712,29.7,SP,MIL,MLB
62,Max Fried,2709,32.1,SP,NYY,MLB
63,Trey Yesavage,2698,22.6,SP,TOR,MLB
64,Bryce Harper,2660,33.4,1B,PHI,MLB
65,Tyler Soderstrom,2644,24.3,"1B, OF",ATH,MLB
66,Bubba Chandler,2631,23.5,SP,PIT,MLB
67,Ben Rice,2605,27,"C, 1B",NYY,MLB
68,Spencer Schwellenbach,2572,25.8,SP,ATL,MLB
69,Matt Olson,2560,31.9,1B,ATL,MLB
70,Trea Turner,2560,32.7,SS,PHI,MLB
71,Geraldo Perdomo,2552,26.4,SS,AZ,MLB
72,Max Clark,2547,21.2,OF,DET,AA
73,William Contreras,2472,28.2,C,MIL,MLB
74,Sebastian Walcott,2455,19.9,SS,TEX,AA
75,Corey Seager,2449,31.8,SS,TEX,MLB
76,Mason Miller,2448,27.5,RP,SD,MLB
77,Cam Schlittler,2402,25.1,SP,NYY,MLB
78,Mookie Betts,2324,33.4,SS,LAD,MLB
79,Walker Jenkins,2277,21,OF,MIN,AAA
80,Spencer Strider,2270,27.3,SP,ATL,MLB
81,Josh Naylor,2216,28.7,1B,SEA,MLB
82,Jacob Wilson,2215,23.9,SS,ATH,MLB
83,Oneil Cruz,2205,27.4,OF,PIT,MLB
84,Vinnie Pasquantino,2184,28.4,1B,KC,MLB
85,Dylan Crews,2136,24,OF,WSH,MLB
86,Jarren Duran,2108,29.5,OF,BOS,MLB
87,Kade Anderson,2103,21.7,SP,SEA,ROK
88,Brent Rooker,2068,31.3,"OF, UT",ATH,MLB
89,Jesus Luzardo,2041,28.4,SP,PHI,MLB
90,Dylan Cease,2003,30.2,SP,TOR,MLB
91,Manny Machado,1974,33.7,3B,SD,MLB
92,Drake Baldwin,1959,24.9,C,ATL,MLB
93,MacKenzie Gore,1959,27,SP,TEX,MLB
94,Roki Sasaki,1955,24.3,SP,LAD,MLB
95,Jeremy Pena,1940,28.4,SS,HOU,MLB
96,Carter Jensen,1924,22.7,C,KC,MLB
97,Brice Turang,1897,26.3,2B,MIL,MLB
98,Michael Busch,1884,28.3,1B,CHC,MLB
99,Framber Valdez,1858,32.3,SP,DET,MLB
100,Bryce Eldridge,1842,21.4,UT,SF,MLB
101,Jordan Westburg,1841,27,"2B, 3B",BAL,MLB
102,Gavin Williams,1814,26.6,SP,CLE,MLB
103,Travis Bazzana,1788,23.5,2B,CLE,AAA
104,Josue De Paula,1776,20.8,OF,LAD,AA
105,Lawrence Butler,1770,25.6,OF,ATH,MLB
106,Luke Keaschall,1759,23.5,2B,MIN,MLB
107,Edward Florentino,1750,19.3,OF,PIT,A
108,Kyle Stowers,1732,28.2,OF,MIA,MLB
109,Luis Pena,1731,19.3,"2B, SS",MIL,A+
110,Michael King,1699,30.8,SP,SD,MLB
111,Alex Bregman,1699,31.9,3B,CHC,MLB
112,2026 Early 1st,1694,,,,
113,Andrew Painter,1691,22.9,SP,PHI,MLB
114,Colt Emerson,1648,20.6,SS,SEA,AAA
115,Cody Bellinger,1642,30.6,OF,NYY,MLB
116,Aidan Miller,1640,21.7,SS,PHI,AAA
117,Cade Horton,1638,24.5,SP,CHC,MLB
118,Thomas White,1617,21.4,SP,MIA,AAA
119,Emmet Sheehan,1595,26.3,SP,LAD,MLB
120,Jared Jones,1588,24.6,SP,PIT,MLB
121,Sal Stewart,1549,22.2,1B,CIN,MLB
122,Agustin Ramirez,1536,24.5,C,MIA,MLB
123,Nick Lodolo,1536,28.1,SP,CIN,MLB
124,Shea Langeliers,1536,28.3,C,ATH,MLB
125,Michael Harris II,1530,24.9,OF,ATL,MLB
126,Seiya Suzuki,1499,31.5,"OF, UT",CHC,MLB
127,Marcelo Mayer,1492,23.2,3B,BOS,MLB
128,Kristian Campbell,1489,23.7,2B,BOS,MLB
129,Blake Snell,1455,33.2,SP,LAD,MLB
130,Zyhir Hope,1418,21.1,OF,LAD,AA
131,Pablo Lopez,1397,29.9,SP,MIN,AAA
132,Will Smith,1390,30.9,C,LAD,MLB
133,Spencer Torkelson,1387,26.5,1B,DET,MLB
134,Byron Buxton,1375,32.2,OF,MIN,MLB
135,Tyler Glasnow,1366,32.5,SP,LAD,MLB
136,Edward Cabrera,1364,27.9,SP,CHC,MLB
137,Corbin Burnes,1363,31.4,SP,AZ,MLB
138,Andres Munoz,1357,27.1,RP,SEA,MLB
139,Kyle Bradish,1357,29.5,SP,BAL,MLB
140,Matt Shaw,1351,24.3,3B,CHC,MLB
141,Jackson Jobe,1340,23.6,SP,DET,MLB
142,Jonah Tong,1331,22.7,SP,NYM,MLB
143,2027 Early 1st,1319,,,,
144,Carson Benge,1316,23.1,OF,NYM,AAA
145,Cam Smith,1300,23,OF,HOU,MLB
146,Tatsuya Imai,1270,27.8,SP,HOU,MLB
147,Freddie Freeman,1266,36.5,1B,LAD,MLB
148,Jasson Dominguez,1264,23.1,OF,NYY,MLB
149,Colson Montgomery,1263,24,"3B, SS",CWS,MLB
150,Adley Rutschman,1262,28.1,C,BAL,MLB
151,Bryce Rainer,1254,20.7,SS,DET,A
152,Ranger Suarez,1226,30.5,SP,BOS,MLB
153,Connelly Early,1219,23.9,SP,BOS,MLB
154,Kris Bubic,1213,28.5,SP,KC,MLB
155,Ivan Herrera,1206,25.8,C,STL,MLB
156,Shane Baz,1198,26.7,SP,BAL,MLB
157,Nico Hoerner,1196,28.8,2B,CHC,MLB
158,Addison Barger,1193,26.3,"3B, OF",TOR,MLB
159,Eli Willits,1189,18.2,SS,WSH,A
160,Jhoan Duran,1182,28.1,RP,PHI,MLB
161,Hunter Goodman,1177,26.4,C,COL,MLB
162,Zack Wheeler,1170,35.8,SP,PHI,MLB
163,Shane McClanahan,1170,28.8,SP,TB,MLB
164,Payton Tolle,1168,23.3,SP,BOS,MLB
165,Chris Sale,1163,36.9,SP,ATL,MLB
166,Andy Pages,1158,25.2,OF,LAD,MLB
167,Jordan Lawlar,1151,23.6,3B,AZ,MLB
168,Isaac Paredes,1139,27,3B,HOU,MLB
169,Noelvi Marte,1111,24.4,"3B, OF",CIN,MLB
170,Bryce Miller,1076,27.5,SP,SEA,MLB
171,Liam Doyle,1062,21.7,SP,STL,AA
172,Steven Kwan,1059,28.5,OF,CLE,MLB
