Player,Position,Age,Dobber (Aug 2026),Hashtag Hockey (Mar 2026),Lineup Experts (Aug 2026),ErockThud (Sep 2026),RankKing (Mar 2026),Haxboy (Mar 2026),Dynasty Puck (Aug 2026),Average Rank,Rank Variance
Andrei Vasilevskiy,G,31,1,3,1,3,1,4,1,2.0,0.1844
Igor Shesterkin,G,30,3,4,5,1,3,3,5,3.4286,0.1658
Connor Hellebuyck,G,32,6,1,7,4,2,2,2,3.4286,0.2728
Jake Oettinger,G,27,4,2,2,2,4,1,4,2.7143,0.1625
Filip Gustavsson,G,27,18,14,33,11,9,11,17,16.1429,0.3847
Logan Thompson,G,29,2,7,4,5,5,10,3,5.1429,0.2635
Ilya Sorokin,G,30,8,5,10,6,7,5,6,6.7143,0.1536
Mackenzie Blackwood,G,29,11,11,30,18,10,12,18,15.7143,0.3444
Lukas Dostal,G,25,9,22,12,14,16,9,8,12.8571,0.2789
Spencer Knight,G,24,12,,9,9,15,8,7,10.0,0.1978
Sergei Bobrovsky,G,37,31,16,28,15,8,19,26,20.4286,0.3234
Karel Vejmelka,G,29,7,18,6,12,20,13,13,12.7143,0.291
Jeremy Swayman,G,27,5,17,8,8,12,6,10,9.4286,0.2825
Brandon Bussi,G,,15,,14,,,,24,17.6667,0.243
Joey Daccord,G,29,28,15,17,20,21,17,32,21.4286,0.2382
Dustin Wolf,G,24,19,10,11,10,11,7,9,11.0,0.2366
Juuse Saros,G,30,22,8,15,13,13,14,16,14.4286,0.216
Yaroslav Askarov,G,23,21,28,23,7,18,15,15,18.1429,0.2914
Linus Ullmark,G,32,13,13,24,16,24,16,20,18.0,0.2055
Tristan Jarry,G,30,48,50,31,,27,,46,40.4,0.2334
John Gibson,G,32,24,26,16,29,17,,29,23.5,0.2019
Jacob Markstrom,G,36,32,6,27,21,25,26,23,22.8571,0.2941
Darcy Kuemper,G,35,36,9,25,22,19,20,33,23.4286,0.3191
Dan Vladar,G,,,,,,31,,,31.0,
Jesper Wallstedt,G,23,16,29,20,,6,,12,16.6,0.4004
Jet Greaves,G,24,25,,3,34,30,,14,21.2,0.4823
Jakub Dobes,G,24,17,,34,,37,,11,24.75,0.4273
Arturs Silovs,G,24,29,,35,,,,38,34.0,0.1175
Joseph Woll,G,27,34,23,,33,14,,51,31.0,0.3844
Ukko-Pekka Luukkonen,G,26,23,21,19,25,23,,22,22.1667,0.0751
Stuart Skinner,G,27,41,25,,26,35,21,41,31.5,0.2374
Jordan Binnington,G,32,44,19,,19,22,24,43,28.5,0.3516
Sam Montembeault,G,29,58,30,,28,29,,,36.25,0.3521
Alex Lyon,G,,33,45,,,40,,44,40.5,0.1197
Kevin Lankinen,G,30,52,27,,,,,,39.5,0.3973
Adin Hill,G,29,57,24,,27,34,18,40,33.3333,0.3628
Anthony Stolarz,G,32,55,35,29,30,32,25,54,37.1429,0.2904
Scott Wedgewood,G,,27,42,21,17,28,,27,27.0,0.2659
Jacob Fowler,G,,20,,,,,,35,27.5,0.3264
Connor Ingram,G,28,,31,,,,,,31.0,
Leevi Merilainen,G,23,,,,,,,,41.0,
Joel Hofer,G,25,30,38,13,,38,,19,27.6,0.3461
Elvis Merzlikins,G,31,56,34,,31,,,56,44.25,0.2766
Carter Hart,G,,10,,18,,39,,28,23.75,0.4366
Devon Levi,G,24,26,32,,,,,,29.0,0.1248
Akira Schmid,G,25,43,,,,,,,43.0,
Alex Nedeljkovic,G,,49,,,,,,,49.0,
Sebastian Cossa,G,,40,,,,,,34,37.0,0.101
David Rittich,G,,,,,,,,55,55.0,
Pyotr Kochetkov,G,26,50,20,36,23,36,23,39,32.4286,0.2906
Eric Comrie,G,,,,,,,,,51.0,
Colten Ellis,G,,46,,,,,,,46.0,
Jake Allen,G,,47,43,26,,33,,21,34.0,0.2821
Thatcher Demko,G,30,53,12,32,24,26,22,42,30.1429,0.3882
Ville Husso,G,,54,,,,,,,54.0,
Sergey Murashov,G,,39,,,,,,37,38.0,0.0329
Joonas Korpisalo,G,,59,46,,,,,,52.5,0.1599
Philipp Grubauer,G,,60,,,,,,50,55.0,0.1179
Dennis Hildeby,G,,,,,,,,52,52.0,
Frederik Andersen,G,36,37,36,,32,,,31,34.0,0.0755
Cam Talbot,G,38,,33,,,,,,33.0,
Samuel Ersson,G,26,,37,,35,,,48,40.0,0.1556
Charlie Lindgren,G,32,,39,,,,,,39.0,
Ivan Fedotov,G,,,40,,,,,,40.0,
Casey DeSmith,G,,,41,,,,,49,45.0,0.1131
Vitek Vanecek,G,,,44,,,,,,44.0,
Anton Forsberg,G,,45,47,,,,,36,42.6667,0.1229
Petr Mrazek,G,,,48,,,,,,48.0,
Alexandar Georgiev,G,,,49,,,,,,49.0,
Daniel Vladar,G,,14,,22,,,,25,20.3333,0.2245
Daniil Tarasov,G,,35,,,,,,30,32.5,0.0943
Nico Daws,G,,38,,,,,,,38.0,
Devin Cooley,G,,42,,,,,,45,43.5,0.0437
Dylan Garand,G,,51,,,,,,,51.0,
Joshua Ravensbergen,G,,,,,,,,47,47.0,
Justus Annunen,G,,,,,,,,53,53.0,
